वक्रतुंड	JJ
नमस्तस्यैः	NNP
नमस्तस्यैः	NNP
नमस्तस्यैः	NNP
नमो	NNP
नमः	NNP
॥	NNP
ॐ	NNP
णमो	NNP
अरिहंताणं	NNP
ॐ	NNP
णमो	NNP
सिद्धाणं	NNP
ॐ	NNP
णमो	NNP
आयरियाणं	NNP
ॐ	NNP
णमो	NNP
उवज्झायाणं	NNP
ॐ	NNP
णमो	NNP
लोए	NNP
सव्वसाहुणं	NNP
एसो	NNP
पंच	NNP
णमोकारो	NNP
सव्व	NNP
पावपणासणो	NNP
मंगलाणं	NNP
च	NNP
सव्वेसिम्	NNP
पढमं	NNP
हवई	NNP
मंगलं	NNP
सर्व	NNP
मंगल	NNP
मांगल्ये	NNP
शिवे	NNP
सर्वार्थ	NNP
साधिके	NNP
।	NNP
शरण्ये	NNP
त्र्यंबके	NNP
गौरी	NNP
नारायणी	NNP
नमोऽस्तुते	NNP
॥	NNP
वसुदेव	NNP
सुतं	NNP
देवं	NNP
कंस	NNP
चाणूरमर्दनं	NNP
।	NNP
देवकी	NNP
परमानंदं	NNP
कृष्णं	NNP
वंदे	NNP
जगद्गुरुं	NNP
॥	NNP
ब्रह्मार्पणं	NNP
ब्रह्म	NNP
हविः	NNP
ब्रह्माग्नौ	NNP
ब्रह्मणा	NNP
हुतम्	NNP
।	NNP
ब्रह्मैव	NNP
तेन	NNP
गन्तव्यं	NNP
ब्रह्मकर्मसमाधिना	NNP
॥	NNP
राम	NNP
रामेति	NNP
रामेति	NNP
रमे	NNP
रामे	NNP
मनोरमे	NNP
।	NNP
सहस्रनाम	NNP
तत्तुल्यं	NNP
रामनाम	NNP
वरानने	NNP
॥	NNP
शुभं	NNP
करोति	NNP
कल्याणं	NNP
आरोग्यं	NNP
धनसम्पदा	NNP
।	NNP
शत्रुबुध्दिविनाशाय	NNP
दीपज्योति	NNP
नमोऽस्तुते	NNP
॥	NNP
कर्मण्येवाधिकारस्ते	NNP
मा	NNP
फलेषु	NNP
कदाचन	NNP
।	NNP
मा	NNP
कर्मफलहेतुर्भिः	NNP
मा	NNP
ते	NNP
सङ्गोस्त्व	NNP
कर्मणि	NNP
॥	NNP
करचरण	NNP
कृतं	NNP
वाक्कायजं	NNP
कर्मजं	NNP
वा	NNP
।	NNP
श्रवणनयनजं	NNP
वा	NNP
मानसं	NNP
वापराधं	NNP
।	NNP
विहितमविहितं	NNP
वा	NNP
सर्वमेतत्क्षमस्व	NNP
।	NNP
जय	NNP
जय	NNP
करुणाब्धे	NNP
श्रीमहादेव	NNP
शम्भो	NNP
॥	NNP
ॐ	NNP
सह	NNP
नाववतु	NNP
।	NNP
सह	NNP
नौभुनक्तु	NNP
।	NNP
सह	NNP
वीर्यं	NNP
करवावहै	NNP
।	NNP
तेजस्वि	NNP
नावधीतमस्तु	NNP
।	NNP
मा	NNP
विद्विषावहै	NNP
॥	NNP
त्वमेव	NNP
माता	NNP
च	NNP
पिता	NNP
त्वमेव	NNP
।	NNP
त्वमेव	NNP
बन्धुश्च	NNP
सखा	NNP
त्वमेव	NNP
।	NNP
त्वमेव	NNP
विद्या	NNP
द्रविणं	NNP
त्वमेव	NNP
।	NNP
त्वमेव	NNP
सर्वं	NNP
मम	NNP
देवदेव	NNP
॥	NNP
ॐ	NNP
असतो	NNP
मा	NNP
सद्गमय	NNP
।	NNP
तमसो	NNP
मा	NNP
ज्योतिर्गमय	NNP
।	NNP
मृत्योर्मा	NNP
अमृतं	NNP
गमय	NNP
॥	NNP
ॐ	NNP
शांतिः	NNP
शांतिः	NNP
शांतिः	NNP
॥	NNP
ॐ	NNP
पूर्णमदः	NNP
पूर्णमिदं	NNP
पूर्णात्	NNP
पूर्णमुदच्यते	NNP
।	NNP
पूर्णस्य	NNP
पूर्णमादाय	NNP
पूर्णमेवावशिष्यते	NNP
॥	NNP
ॐ	NNP
शांतिः	NNP
शांतिः	NNP
शांतिः	NNP
॥	NN
